 10    20  PLHL 4000         1  GEN PLANT PATHOLOGY    4.0  1030-1150    T TH                                        MCGAWLEY E
                     LAB                                     130-0420      TH                                        MCGAWLEY E
  5     5  PLHL 4054         1  INTRO MYCOLOGY         4.0   930-1020   M W F  0308 LIFE SCIENCES                    BLACKWELL M
                     LAB                                    1130-0320     W    0308 LIFE SCIENCES                    BLACKWELL M
 15     1  PLHL 7010         1  PLANT MOLECULAR BIOL   3.0   815-0935    T TH                                        MURAI N
 19    11  PLHL 7040         1  PLANT VIROLOGY         4.0  TBA                                                      VALVERDE R
                     LAB                                    TBA                                                      VALVERDE R
  4    11  PLHL 7052 SEM     1  SEMINAR                1.0   330-0420     W                                          MCGAWLEY E
  6     4  PLHL 7082         1  SOILBRN PLNT PATHOGE   3.0  TBA                                                      SCHNEIDER R
 98     1  PLHL 8000 RES     1  THESIS RESEARCH        1-12 TBA                                                      CLARK C
 98     1  PLHL 8000 RES     2  THESIS RESEARCH        1-12 TBA                                                      COHN M
 98     1  PLHL 8000 RES     6  THESIS RESEARCH        1-12 TBA                                                      CHEN Z
 98     1  PLHL 8000 RES     7  THESIS RESEARCH        1-12 TBA                                                      MCGAWLEY E
 98     1  PLHL 8000 RES    10  THESIS RESEARCH        1-12 TBA                                                      SCHNEIDER R
 98     1  PLHL 8000 RES    11  THESIS RESEARCH        1-12 TBA                                                      VALVERDE R
 96     3  PLHL 8000 RES    13  THESIS RESEARCH        1-12 TBA                                                      OVERSTREET C
 97     2  PLHL 8000 RES    14  THESIS RESEARCH        1-12 TBA                                                      HAM J
 97     2  PLHL 8000 RES    15  THESIS RESEARCH        1-12 TBA                                                      AIME M
  9     1  PLHL 8900 RES     5  SPECIAL RESEARCH PRO   1-5  TBA                                                      MCGAWLEY E
 98     1  PLHL 9000 RES     1  DISSERTATION RES       1-12 TBA                                                      CLARK C
 98     1  PLHL 9000 RES     2  DISSERTATION RES       1-12 TBA                                                      COHN M
 98     1  PLHL 9000 RES     4  DISSERTATION RES       1-12 TBA                                                      FERRIN D
 96     3  PLHL 9000 RES     6  DISSERTATION RES       1-12 TBA                                                      CHEN Z
 98     1  PLHL 9000 RES    10  DISSERTATION RES       1-12 TBA                                                      SCHNEIDER R
 98     1  PLHL 9000 RES    11  DISSERTATION RES       1-12 TBA                                                      VALVERDE R
 98     1  PLHL 9000 RES    12  DISSERTATION RES       1-12 TBA                                                      HOLLIER C
 95     4  PLHL 9000 RES    14  DISSERTATION RES       1-12 TBA                                                      HAM J
