 24    44  PHYS 1201         1  GEN PHYS PHYS MAJORS   4.0   930-1020   MTWTH  0119 NICHOLSON       MAJORS ONLY      BLACKMON J
  1    11  PHYS 1208 LAB     2  GEN PHYS LAB PHYS M    1.0   300-0550    T     0006 NICHOLSON       MAJORS ONLY      BROWNE D
  2    10  PHYS 1208 LAB     1  GEN PHYS LAB PHYS M    1.0   230-0520     W    0006 NICHOLSON       MAJORS ONLY      BROWNE D
  2    10  PHYS 1208 LAB     3  GEN PHYS LAB PHYS M    1.0   700-0950N    W    0006 NICHOLSON       MAJORS ONLY      BROWNE D
  4     8  PHYS 1208 LAB     4  GEN PHYS LAB PHYS M    1.0   300-0550      TH  0006 NICHOLSON                        BROWNE D
  2    11  PHYS 2001         1  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001         2  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001         3  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001         4  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
  2    11  PHYS 2001         5  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001         6  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001         7  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001         8  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    14  PHYS 2001         9  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001        10  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001        11  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    14  PHYS 2001        12  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001        14  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
  1    12  PHYS 2001        15  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001        16  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001        17  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001        18  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
  3    23  PHYS 2001        53  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
  7    18  PHYS 2001        54  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    25  PHYS 2001        59  GENERAL PHYSICS        3.0  1130-1220   M W F  0130 NICHOLSON                        ADAMS P
(F)    13  PHYS 2001        19  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  4     9  PHYS 2001        20  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  3    11  PHYS 2001        21  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  2    10  PHYS 2001        22  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  1    12  PHYS 2001        23  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  8     5  PHYS 2001        24  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  4     9  PHYS 2001        25  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  5     8  PHYS 2001        26  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  3     7  PHYS 2001        27  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  4     9  PHYS 2001        28  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  4     8  PHYS 2001        29  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  3    10  PHYS 2001        30  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  5     8  PHYS 2001        31  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  9     4  PHYS 2001        32  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  3    10  PHYS 2001        33  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  6        PHYS 2001        56  GENERAL PHYSICS        3.0   230-0320   M W F  0130 NICHOLSON                        BEAIRD R
  7     8  PHYS 2001        60  GENERAL PHYSICS        3.0   230-0320   M W F                                        BEAIRD R
(F)    15  PHYS 2001        36  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
  3    13  PHYS 2001        37  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
(F)    14  PHYS 2001        38  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
(F)    15  PHYS 2001        39  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
  1    26  PHYS 2001        40  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
(F)    14  PHYS 2001        41  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
