  2    18  HNRS 1000 SEM     1  HONORS FOUNDATIONS     1.0   710-0800N     TH  0213 FRENCH HOUSE                     CLARK N
  2    18  HNRS 1000 SEM     6  HONORS FOUNDATIONS     1.0   710-0800N     TH  0204BFRENCH HOUSE                     CLARK N
  6    14  HNRS 1000 SEM    11  HONORS FOUNDATIONS     1.0   710-0800N     TH  0210 FRENCH HOUSE                     CLARK N
  4    16  HNRS 1000 SEM    17  HONORS FOUNDATIONS     1.0   710-0800N     TH  0220 FRENCH HOUSE                     CLARK N
 11    24  HNRS 1007         1  INTRO TO LIFE SCIENC   4.0   140-0230   M W    0206 TUREAUD HALL    CI-WRITTEN&SPOK  INGRAM D
  6    14  HNRS 1036 SEM     1  SUSTAINABLE EARTH      3.0  1040-1200    T TH                       CI-WRITTEN&VISU  NUNN J
  2    18  HNRS 2000 SEM     1  CRITICAL ANALYSIS      3.0   940-1030   M W F  0220 FRENCH HOUSE    CI-WRITTEN&SPOK  BABCOCK F
  4    16  HNRS 2000 SEM     2  CRITICAL ANALYSIS      3.0   940-1030   M W F  0117 ALLEN           CI-WRITTEN&SPOK  BOWLES L
  1    19  HNRS 2000 SEM     3  CRITICAL ANALYSIS      3.0   940-1030   M W F  0204BFRENCH HOUSE    CI-WRITTEN&SPOK  ROUSE L
  4    16  HNRS 2000 SEM     5  CRITICAL ANALYSIS      3.0   940-1030   M W F  0213 FRENCH HOUSE    CI-WRITTEN&SPOK  MARIN D
  6    14  HNRS 2000 SEM    11  CRITICAL ANALYSIS      3.0   910-1030    T TH  0220 FRENCH HOUSE                     HOLMES A
  2    16  HNRS 2000 SEM    12  CRITICAL ANALYSIS      3.0   910-1030    T TH  0101 AUDUBON                          KELLEY M
(F)    18  HNRS 2000 SEM    13  CRITICAL ANALYSIS      3.0   910-1030    T TH                                        LAWS E
(F)    18  HNRS 2000 SEM    14  CRITICAL ANALYSIS      3.0   910-1030    T TH  0213 FRENCH HOUSE                     SONG E
  4    14  HNRS 2000 SEM    15  CRITICAL ANALYSIS      3.0   910-1030    T TH                                        KING G
  3    15  HNRS 2000 SEM    16  CRITICAL ANALYSIS      3.0   910-1030    T TH  0204BFRENCH HOUSE                     DUMAIS S
  2    18  HNRS 2000 SEM     6  CRITICAL ANALYSIS      3.0  1040-1200    T TH  0204BFRENCH HOUSE                     LAMONICA D
  4    16  HNRS 2000 SEM     7  CRITICAL ANALYSIS      3.0  1040-1200    T TH  0220 FRENCH HOUSE                     PERCY L
  2    18  HNRS 2000 SEM     8  CRITICAL ANALYSIS      3.0  1040-1200    T TH                                        LICATA V
  3    17  HNRS 2000 SEM     9  CRITICAL ANALYSIS      3.0  1040-1200    T TH  0213 FRENCH HOUSE                     GARAND J
  2    18  HNRS 2000 SEM    10  CRITICAL ANALYSIS      3.0  1040-1200    T TH                       CI-WRITTEN&SPOK  BUCHANAN T
  2    18  HNRS 2012         1  FACES OF MODERNITY     3.0   140-0300   M W    0218 STUBBS                           EUBANKS C
(F)    19  HNRS 2013         2  EVOL BIOL MORALITY     3.0   310-0430   M W    0424 HODGES HALL                      PROTEVI J
(F)    14  HNRS 2013         3  STATE OF LOUISIANA     3.0   140-0300    T TH  0220 FRENCH HOUSE    CI-WRITTEN&SPOK  BABCOCK F
  5    14  HNRS 2013         4  CS LEWIS & OXFORD XN   3.0   140-0300    T TH  0204BFRENCH HOUSE                     HENDERSON E
  1    14  HNRS 2013         1  THE COLD WAR           3.0   310-0600    T     0204BFRENCH HOUSE                     CULBERT D
  6    13  HNRS 2021         1  PICASSO                3.0   910-1030    T TH  0210 FRENCH HOUSE    CI-WRITTEN&SPOK  SPIETH D
  7    10  HNRS 2021         2  THINKING ABOUT ART     3.0   310-0430    T TH  0220 FRENCH HOUSE                     OSBORNE W
 15     5  HNRS 3000 SEM     1  PSYCH RES METHODS      3.0  1210-0130    T TH  0237 COATES          CI-WRITTEN&SPOK  MCDONALD J
  1    17  HNRS 3031         2  WEIGHING AMERICA       3.0  1210-0130    T TH  0134 ALLEN                            GREY S
  9     8  HNRS 3031         1  CONSTITUTIONALISM      3.0   310-0430    T TH                                        DEVLIN J
 10     9  HNRS 3033         1  SOC MOVEMNTS & COURT   3.0  1040-1200    T TH  0210 FRENCH HOUSE    CI-WRITTEN&SPOK  MOYER L
(F)     8  HNRS 3100 RES     1  INTSHP/FLD WK/OFF-CP   1-6  TBA                                                      CLARK N
(F)     1  HNRS 3991 RES     1  THESIS                 3.0  TBA                                                      CARSON R
(F)     1  HNRS 3991 RES     2  THESIS                 3.0  TBA                                                      CLARE J
(F)     1  HNRS 3991 RES     3  THESIS                 3.0  TBA                                                      BRIND'AMOUR L
(F)     1  HNRS 3991 RES     4  THESIS                 3.0  TBA                                                      MURPHY J
(F)     1  HNRS 3991 RES     5  THESIS                 3.0  TBA                                                      HARGRODER W
(F)     1  HNRS 3991 RES     6  THESIS                 3.0  TBA                                                      CHANDLER T
(F)     1  HNRS 3991 RES     7  THESIS                 3.0  TBA                                                      AUSTIN C
(F)     1  HNRS 3991 RES     8  THESIS                 3.0  TBA                                                      STOLTZFUS N
(F)     1  HNRS 3991 RES     9  THESIS                 3.0  TBA                                                      GARCIA M
(F)     1  HNRS 3991 RES    10  THESIS                 3.0  TBA                                                      GARAND J
(F)     1  HNRS 3991 RES    11  THESIS                 3.0  TBA                                                      FLETCHER K
(F)     1  HNRS 3991 RES    12  THESIS                 3.0  TBA                                                      BARTOLOME S
(F)     1  HNRS 3991 RES    13  THESIS                 3.0  TBA                                                      DAVIS B
(F)     1  HNRS 3991 RES    14  THESIS                 3.0  TBA                                                      SONG E
(F)     1  HNRS 3991 RES    15  THESIS                 3.0  TBA                                                      ADVOKAT C
(F)     1  HNRS 3991 RES    16  THESIS                 3.0  TBA                                                      FLETCHER K
(F)     1  HNRS 3991 RES    17  THESIS                 3.0  TBA                                                      SYLVESTER J
(F)     1  HNRS 3991 RES    18  THESIS                 3.0  TBA                                                      PARENT T
(F)     1  HNRS 3991 RES    19  THESIS                 3.0  TBA                                                      MATTHEWS R
(F)     1  HNRS 3991 RES    20  THESIS                 3.0  TBA                                                      CARSTENS B
(F)     1  HNRS 3991 RES    21  THESIS                 3.0  TBA                                                      DEMASTES W
(F)     1  HNRS 3991 RES    22  THESIS                 3.0  TBA                                                      DASBACH O
(F)     1  HNRS 3991 RES    23  THESIS                 3.0  TBA                                                      DUNAWAY J
(F)     1  HNRS 3991 RES    24  THESIS                 3.0  TBA                                                      BURNS A
(F)     1  HNRS 3991 RES    25  THESIS                 3.0  TBA                                                      DOWLING J
(F)     1  HNRS 3991 RES    26  THESIS                 3.0  TBA                                                      LANDIN D
(F)     1  HNRS 3991 RES    27  THESIS                 3.0  TBA                                                      SYLVESTER J
(F)     1  HNRS 3991 RES    28  THESIS                 3.0  TBA                                                      MCKILLOP H
(F)     1  HNRS 3991 RES    29  THESIS                 3.0  TBA                                                      MCGEE P
(F)     1  HNRS 3991 RES    30  THESIS                 3.0  TBA                                                      COGBURN J
(F)     1  HNRS 3991 RES    32  THESIS                 3.0  TBA                                                      RAY L
(F)     1  HNRS 3991 RES    33  THESIS                 3.0  TBA                                                      BERTOLINI C
(F)     1  HNRS 3991 RES    34  THESIS                 3.0  TBA                                                      ROWE W
(F)     1  HNRS 3991 RES    35  THESIS                 3.0  TBA                                                      SEIFRIED C
(F)     1  HNRS 3991 RES    36  THESIS                 3.0  TBA                                                      SLUYTER A
(F)     1  HNRS 3991 RES    37  THESIS                 3.0  TBA                                                      SHIPKA D
(F)     1  HNRS 3991 RES    38  THESIS                 3.0  TBA                                                      DAVIS B
 29     1  HNRS 3991 RES    40  THESIS                 3.0  TBA                                                      ZERBA M
(F)     1  HNRS 3992 RES     2  THESIS                 3.0  TBA                                                      SONG F
(F)     1  HNRS 3992 RES     3  THESIS                 3.0  TBA                                                      OETTING J
(F)     1  HNRS 3992 RES     4  THESIS                 3.0  TBA                                                      LEGORIA J
(F)     1  HNRS 3992 RES     5  THESIS                 3.0  TBA                                                      FOLSE J
(F)     1  HNRS 3992 RES     6  THESIS                 3.0  TBA                                                      KELLEY K
