 13    47  AGEC 1003         1  INTR TO AGRIC BUSINE   3.0  1030-1150    T TH  0211 TUREAUD HALL                     FANNIN J
 19   131  AGEC 2003         1  INTRO TO AGRIC ECONO   3.0   830-0920   M W F  0010 LOCKETT                          GILLESPIE J
 41    19  AGEC 3003         1  ECON ANLY IN AGRIBUS   3.0  1230-0120   M W F  0102 TUREAUD HALL                     HARRISON R
  5    24  AGEC 3413         1  AGRIC BUS MGT DECIS    3.0   830-0920   M W F  0230EMIDDLETON                        PAUDEL K
 95     4  AGEC 3700 CLI     1  INTERNSHIP             1-3  TBA                                                      KENNEDY P
 13     8  AGEC 4203         1  INTER FOOD/FIB PRD M   3.0  1030-1150    T TH  0118 PRESCOTT                         HARRISON R
 30    26  AGEC 4403         1  AGRICULTURAL FINANCE   3.0   900-1020    T TH  0211 TUREAUD HALL                     WESTRA J
 63    17  AGEC 4443         1  FARM & RURL LND APSL   3.0   130-0250    T TH  0105 TUREAUD HALL                     PAUDEL K
 34    26  AGEC 4603         1  AGRICULTURAL POLICY    3.0   930-1020   M W F  0203 TUREAUD HALL                     DELIBERTO M
 14     1  AGEC 4700 RES     2  PROBLMS IN AGRIC ECO   1-3  TBA                                                      GILLESPIE J
 16     4  AGEC 7113         2  AGRIBUS RES APPL       3.0  1030-1150    T TH                                        KENNEDY P
 12     6  AGEC 7123         1  OPER RES METH IN AGE   3.0  1030-1120   M W F  0218 STUBBS                           GILLESPIE J
 56     4  AGEC 7523         1  NONMARKET VALUATION    3.0  1200-0250       F                                        PAUDEL K
 97     2  AGEC 7703 RES     1  INDEPENDENT STUDY      1-3  TBA                                                      FANNIN J
 98     1  AGEC 7703 RES     2  INDEPENDENT STUDY      1-3  TBA                                                      MISHRA A
 98     1  AGEC 7703 RES     3  INDEPENDENT STUDY      1-3  TBA                                                      KAZMIERCZAK R
 98     1  AGEC 8000 RES     2  THESIS RESEARCH        1-12 TBA                                                      CAFFEY R
 98     1  AGEC 8000 RES     3  THESIS RESEARCH        1-12 TBA                                                      KENNEDY P
 98     1  AGEC 8000 RES     6  THESIS RESEARCH        1-12 TBA                                                      WESTRA J
 98     1  AGEC 8000 RES    12  THESIS RESEARCH        1-12 TBA                                                      SALASSI M
 98     1  AGEC 8000 RES    14  THESIS RESEARCH        1-12 TBA                                                      FANNIN J
 98     1  AGEC 8000 RES    17  THESIS RESEARCH        1-12 TBA                                                      GILLESPIE J
 98     1  AGEC 9000 RES     1  DISSERTATION RES       1-12 TBA                                                      WESTRA J
 97     2  AGEC 9000 RES     2  DISSERTATION RES       1-12 TBA                                                      KAZMIERCZAK R
 98     1  AGEC 9000 RES     3  DISSERTATION RES       1-12 TBA                                                      PAUDEL K
 97     2  AGEC 9000 RES     4  DISSERTATION RES       1-12 TBA                                                      HARRISON R
 98     1  AGEC 9000 RES     6  DISSERTATION RES       1-12 TBA                                                      SALASSI M
 98     1  AGEC 9000 RES     7  DISSERTATION RES       1-12 TBA                                                      KENNEDY P
 98     1  AGEC 9000 RES     8  DISSERTATION RES       1-12 TBA                                                      KEITHLY W
 97     2  AGEC 9000 RES     9  DISSERTATION RES       1-12 TBA                                                      GILLESPIE J
 97     2  AGEC 9000 RES    11  DISSERTATION RES       1-12 TBA                                                      FANNIN J
 96     3  AGEC 9000 RES    12  DISSERTATION RES       1-12 TBA                                                      MISHRA A
