 98     1  VMED 8000 RES     2  THESIS RESEARCH        1-12 TBA                                                      PUCHEU-HASTON
 98     1  VMED 8000 RES     7  THESIS RESEARCH        1-12 TBA                                                      LYLE S
 98     1  VMED 8000 RES    12  THESIS RESEARCH        1-12 TBA                                                      MCCONNICO R
 98     1  VMED 8000 RES    13  THESIS RESEARCH        1-12 TBA                                                      SAILE K
 98     1  VMED 8000 RES    25  THESIS RESEARCH        1-12 TBA                                                      LOPEZ M
 98     1  VMED 8000 RES    26  THESIS RESEARCH        1-12 TBA                                                      SOD G
 97     2  VMED 8900 RES     1  PREDISSERTATION RES    1-9  TBA                                                      MACALUSO K
 98     1  VMED 8900 RES     7  PREDISSERTATION RES    1-9  TBA                                                      KOUSOULAS K
 98     1  VMED 8900 RES    11  PREDISSERTATION RES    1-9  TBA                                                      MALONE J
 98     1  VMED 8900 RES    13  PREDISSERTATION RES    1-9  TBA                                                      MORES C
 98     1  VMED 8900 RES    31  PREDISSERTATION RES    1-9  TBA                                                      MACALUSO K
 98     1  VMED 8900 RES    36  PREDISSERTATION RES    1-9  TBA                                                      SOD G
 99        VMED 8900 RES    38  PREDISSERTATION RES    1-9  TBA                                                      JEYASEELAN S
 98     1  VMED 8900 RES    39  PREDISSERTATION RES    1-9  TBA                                                      GUERRERO-PLAT
 97     2  VMED 9000 RES     1  DISSERTATION RES       1-12 TBA                                                      LIANG F
(F)     2  VMED 9000 RES     2  DISSERTATION RES       1-12 TBA                                                      PENN A
 97     2  VMED 9000 RES     3  DISSERTATION RES       1-12 TBA                                                      MILLER J
 98     1  VMED 9000 RES     5  DISSERTATION RES       1-12 TBA                                                      GAUNT S
(F)     1  VMED 9000 RES     7  DISSERTATION RES       1-12 TBA                                                      STRAIN G
(F)     1  VMED 9000 RES     8  DISSERTATION RES       1-12 TBA                                                      CHENG H
(F)     1  VMED 9000 RES    10  DISSERTATION RES       1-12 TBA                                                      YAO S
 91     8  VMED 9000 RES    12  DISSERTATION RES       1-12 TBA                                                      KOUSOULAS K
  1     1  VMED 9000 RES    13  DISSERTATION RES       1-12 TBA                                                      FRANCIS J
(F)     1  VMED 9000 RES    18  DISSERTATION RES       1-12 TBA                                                      PENN A
 98     1  VMED 9000 RES    21  DISSERTATION RES       1-12 TBA                                                      TULLY T
(F)     1  VMED 9000 RES    22  DISSERTATION RES       1-12 TBA                                                      BARKER S
 98     1  VMED 9000 RES    25  DISSERTATION RES       1-12 TBA                                                      EILTS B
(F)     1  VMED 9000 RES    27  DISSERTATION RES       1-12 TBA                                                      FRANCIS J
 98     1  VMED 9000 RES    29  DISSERTATION RES       1-12 TBA                                                      THUNE R
 98     1  VMED 9000 RES    33  DISSERTATION RES       1-12 TBA                                                      MALONE J
 96     3  VMED 9000 RES    43  DISSERTATION RES       1-12 TBA                                                      MACALUSO K
 98     1  VMED 9000 RES    44  DISSERTATION RES       1-12 TBA                                                      LOPEZ M
  2     1  VMED 9000 RES    50  DISSERTATION RES       1-12 TBA                                                      LI S
 98     1  VMED 9000 RES    55  DISSERTATION RES       1-12 TBA                                                      YOSHIMURA M
 96     3  VMED 9000 RES    59  DISSERTATION RES       1-12 TBA                                                      JEYASEELAN S
 98     1  VMED 9000 RES    67  DISSERTATION RES       1-12 TBA                                                      HAWKE J
 98     1  VMED 9000 RES    71  DISSERTATION RES       1-12 TBA                                                      MORES C
  2     1  VMED 9000 RES    83  DISSERTATION RES       1-12 TBA                                                      FRANCIS J
  1     1  VMED 9000 RES    84  DISSERTATION RES       1-12 TBA                                                      YAO S
  1     1  VMED 9000 RES    85  DISSERTATION RES       1-12 TBA                                                      LI S
