  2    17  HNRS 2012         2  19TH CENT HIST&NOVEL   3.0  1030-1150    T TH  0204BFRENCH HOUSE                     MARCHAND S
  5    14  HNRS 2012         1  ROMANTICS AND REBELS   3.0  1200-0120    T TH  0220 FRENCH HOUSE                     PERCY L
  5    14  HNRS 2013         1  CHAR&STRAT-US CORPS    3.0   930-1020   M W F  0220 FRENCH HOUSE    CI-WRITTEN&SPOK  MARIN D
  2    17  HNRS 2013         7  AMER DRAMA SINCE1960   3.0   930-1020   M W F                       CI-WRITTEN&SPOK  BABCOCK F
(F)    19  HNRS 2013         2  COASTAL LOUISIANA      3.0  1030-1120   M W F  0220 FRENCH HOUSE    CI-WRITTEN&SPOK  ROUSE L
  3    16  HNRS 2013         5  FOUCAULT & BIOPOWER    3.0   430-0550N  M W    0324 HODGES HALL                      PROTEVI J
  4    15  HNRS 2013         9  20TH CENTURY BRITAIN   3.0  1030-1150    T TH  0220 FRENCH HOUSE                     HOLMES A
(F)    11  HNRS 2013         6  STATE OF LOUISIANA     3.0   130-0250    T TH                       CI-WRITTEN&SPOK  BABCOCK F
  1    14  HNRS 2013         8  SIXTIES RADICALISM     3.0   300-0550     W    0204BFRENCH HOUSE                     HACHMANN G
(F)    19  HNRS 2020 SEM     1  LIFE IN DIGITAL AGE    3.0   130-0250    T TH  0114 PEABODY         CI-WRITTEN&TECH  BUCHANAN T
  6    13  HNRS 2021         1  ART AND COLONIALISM    3.0   900-1020    T TH                       CI-WRITTEN&SPOK  SPIETH D
(F)    19  HNRS 2021         2  AMERICAN CRIME FILM    3.0   300-0420    T TH  0103 COATES                           FREEDMAN C
  6    13  HNRS 2021         3  AVANT-GARDE(S)         3.0   300-0420    T TH  0213 FRENCH HOUSE                     OSBORNE W
  6    13  HNRS 2041         1  ANCIENT MEDIEVAL       4.0   930-1020   M W    0228 COATES                           LAMONICA D
 12     7  HNRS 2041         2  ANCIENT MEDIEVAL       4.0   930-1020   M W    0228 COATES                           DIETZ M
  7    10  HNRS 2041         3  ANCIENT MEDIEVAL       4.0   930-1020   M W    0228 COATES                           ZERBA M
  7    12  HNRS 3030         1  ARISTOTLE & AQUINAS    3.0   400-0520   M W    0210 FRENCH HOUSE                     STONER J
 10     9  HNRS 3031         1  LEGAL STUDIES FORUM    3.0   900-1020    T TH                                        BAIER P
  5    12  HNRS 3035         1  3D+  VISUALIZATION     3.0  1130-1220   M W F                                        BUTLER L
(F)     9  HNRS 3100 RES     1  INTSHP/FLD WK/OFF-CP   1-6  TBA                                                      BABCOCK F
(F)    13  HNRS 3110 SEM     1  LEADERSHIP WORKSHOP    3.0  TBA                                                      BUCHANAN T
(F)     2  HNRS 3500 RES     1  INDEPENDENT STUDY      1-6  TBA                                                      LICATA V
(F)     2  HNRS 3500 RES     2  INDEPENDENT STUDY      1-6  TBA                                                      DURAN R
(F)     1  HNRS 3500 RES     3  INDEPENDENT STUDY      1-6  TBA                                                      HAMILTON J
(F)     1  HNRS 3500 RES     4  INDEPENDENT STUDY      1-6  TBA                                                      BICKMORE S
(F)     1  HNRS 3500 RES     5  INDEPENDENT STUDY      1-6  TBA                                                      GLEASON E
(F)        HNRS 4000 RES     1  THESIS                 3.0  TBA
(F)     1  HNRS 4000 RES     2  THESIS                 3.0  TBA                                                      DOERRLER W
(F)     1  HNRS 4000 RES     3  THESIS                 3.0  TBA                                                      EUBANKS C
(F)     1  HNRS 4000 RES     4  THESIS                 3.0  TBA                                                      OSBORNE A
(F)     1  HNRS 4000 RES     5  THESIS                 3.0  TBA                                                      STEWART L
(F)     1  HNRS 4000 RES     6  THESIS                 3.0  TBA                                                      HUGHES R
(F)     1  HNRS 4000 RES     7  THESIS                 3.0  TBA                                                      VELDMAN M
(F)     1  HNRS 4000 RES     8  THESIS                 3.0  TBA                                                      HAYNIE S
(F)     1  HNRS 4000 RES     9  THESIS                 3.0  TBA                                                      HUGHES R
(F)     1  HNRS 4000 RES    10  THESIS                 3.0  TBA                                                      HONDZINSKI J
(F)     1  HNRS 4000 RES    11  THESIS                 3.0  TBA                                                      DAVIS J
(F)     1  HNRS 4000 RES    12  THESIS                 3.0  TBA                                                      SHIPMAN S
(F)     1  HNRS 4000 RES    13  THESIS                 3.0  TBA                                                      OBERLIN R
(F)     1  HNRS 4000 RES    14  THESIS                 3.0  TBA                                                      OKEIL A
(F)     1  HNRS 4000 RES    15  THESIS                 3.0  TBA                                                      MANN R
(F)     1  HNRS 4000 RES    16  THESIS                 3.0  TBA                                                      FREEDMAN C
(F)     1  HNRS 4000 RES    17  THESIS                 3.0  TBA                                                      ELLIOTT E
(F)     1  HNRS 4000 RES    18  THESIS                 3.0  TBA                                                      SIEBENALLER J
(F)     1  HNRS 4000 RES    19  THESIS                 3.0  TBA                                                      HICKS J
(F)     1  HNRS 4000 RES    20  THESIS                 3.0  TBA                                                      MESHAL R
(F)     1  HNRS 4000 RES    21  THESIS                 3.0  TBA                                                      KIM W
(F)     1  HNRS 4000 RES    22  THESIS                 3.0  TBA                                                      HONDZINSKI J
(F)     1  HNRS 4000 RES    23  THESIS                 3.0  TBA                                                      KIM J
