  1        ENVS 3999 RES     1  UNDERGRAD RESEARCH     1-4  TBA
  2        ENVS 3999 RES     2  UNDERGRAD RESEARCH     1-4  TBA
  4     8  ENVS 7042         1  ENVR CONFLICT RESOLU   3.0  TBA                                                      REAMS M
  1     2  ENVS 7900 RES     1  SPEC PROB ENV SCI      1-4  TBA                                                      PORTIER R
  2     1  ENVS 7950 SEM     1  PERSP ENVIRON CHEMIS   1-6  TBA                                                      PORTIER R
  2     1  ENVS 7950 SEM     2  GENOTOX HYDROCARBONS   1-6  TBA                                                      WILSON V
  2     1  ENVS 7950 SEM     3  CANCER-ENV DISEASE     1-6  TBA                                                      WILSON V
(F)     1  ENVS 7950 SEM     4  TOXICOLOGY AQUAT ENV   1-6  TBA                                                      PORTIER R
(F)     2  ENVS 7997 RES     1  ENVIRONMENTAL PRACTI   1-6  TBA                                                      PORTIER R
  1        ENVS 7997 RES     2  ENVIRONMENTAL PRACTI   1-6  TBA                                                      WILSON V
  2     2  ENVS 8000 RES     1  THESIS RESEARCH        1-12 TBA                                                      HOU A
  1     1  ENVS 8000 RES     3  THESIS RESEARCH        1-12 TBA                                                      LAM N
  2     1  ENVS 8000 RES     4  THESIS RESEARCH        1-12 TBA                                                      LAWS E
  7     1  ENVS 8000 RES     5  THESIS RESEARCH        1-12 TBA                                                      JOHNSON C
  1     3  ENVS 8000 RES     6  THESIS RESEARCH        1-12 TBA                                                      PORTIER R
  2     2  ENVS 8000 RES     7  THESIS RESEARCH        1-12 TBA                                                      REAMS M
  1     1  ENVS 8000 RES     8  THESIS RESEARCH        1-12 TBA                                                      WASCOM M
  2     2  ENVS 8000 RES     9  THESIS RESEARCH        1-12 TBA                                                      WILSON V
  1     2  ENVS 9000 RES     1  DISSERTATION RESEAR    1-12 TBA                                                      HOU A
  2     1  ENVS 9000 RES     6  DISSERTATION RESEAR    1-12 TBA                                                      PORTIER R
  5     1  ENVS 9000 RES     8  DISSERTATION RESEAR    1-12 TBA                                                      WILSON V
