  5        COMD 4683 CLI     1  UG CLINICAL PRACT      1-6  TBA                                                      SUTHERLAND W
  5        COMD 4684 CLI     1  CLIN PRAC-THER TECH    1-4  TBA                                                      SUTHERLAND W
 43     7  COMD 7153         1  RSRCH DSGN COMM SCI    3.0  0900-0200   M   F
 20        COMD 7882 RES     1  ADV IND RES COMM SCI   1-6  TBA
 99        COMD 8000 RES     1  THESIS RESEARCH        1-12 TBA                                                      HAEBIG E
  5        COMD 9000 RES     1  DISSERTATION RES       1-12 TBA                                                      KUNDUK M
 99        COMD 7683 CLI     1  GRAD CLIN PRACTICUM    1-6  TBA                                                      MCMURRY E
 99        COMD 7683 CLI     2  GRAD CLIN PRACTICUM    1-6  TBA                                                      LALANDE M
 99        COMD 7683 CLI     3  GRAD CLIN PRACTICUM    1-6  TBA                                                      FARHO S
 99        COMD 7683 CLI     4  GRAD CLIN PRACTICUM    1-6  TBA                                                      SUTHERLAND W
 99        COMD 7683 CLI     5  GRAD CLIN PRACTICUM    1-6  TBA                                                      OLINDE K
 99        COMD 7683 CLI     6  GRAD CLIN PRACTICUM    1-6  TBA                                                      MELE S
 99        COMD 7683 CLI     7  GRAD CLIN PRACTICUM    1-6  TBA                                                      HOLMAN M
 99        COMD 7683 CLI     8  GRAD CLIN PRACTICUM    1-6  TBA                                                      GONSOULIN C
 99        COMD 7683 CLI     9  GRAD CLIN PRACTICUM    1-6  TBA                                                      WALKER V
 99        COMD 7684 CLI     1  GRAD CLIN PRACTICUM    1-6  TBA                                                      MCMURRY E
 99        COMD 7684 CLI     2  GRAD CLIN PRACTICUM    1-6  TBA                                                      LALANDE M
 99        COMD 7684 CLI     3  GRAD CLIN PRACTICUM    1-6  TBA                                                      FARHO S
 99        COMD 7684 CLI     4  GRAD CLIN PRACTICUM    1-6  TBA                                                      SUTHERLAND W
 99        COMD 7684 CLI     5  GRAD CLIN PRACTICUM    1-6  TBA                                                      OLINDE K
 99        COMD 7684 CLI     6  GRAD CLIN PRACTICUM    1-6  TBA                                                      MELE S
 99        COMD 7684 CLI     7  GRAD CLIN PRACTICUM    1-6  TBA                                                      HOLMAN M
 99        COMD 7684 CLI     8  GRAD CLIN PRACTICUM    1-6  TBA                                                      GONSOULIN C
 99        COMD 7684 CLI     9  GRAD CLIN PRACTICUM    1-6  TBA                                                      WALKER V
 99        COMD 7685 CLI     1  GRAD CLIN PRACTICUM    1-6  TBA                                                      MCMURRY E
 99        COMD 7685 CLI     2  GRAD CLIN PRACTICUM    1-6  TBA                                                      LALANDE M
 99        COMD 7685 CLI     3  GRAD CLIN PRACTICUM    1-6  TBA                                                      FARHO S
 99        COMD 7685 CLI     4  GRAD CLIN PRACTICUM    1-6  TBA                                                      SUTHERLAND W
 99        COMD 7685 CLI     5  GRAD CLIN PRACTICUM    1-6  TBA                                                      OLINDE K
 99        COMD 7685 CLI     6  GRAD CLIN PRACTICUM    1-6  TBA                                                      MELE S
 99        COMD 7685 CLI     7  GRAD CLIN PRACTICUM    1-6  TBA                                                      HOLMAN M
 99        COMD 7685 CLI     8  GRAD CLIN PRACTICUM    1-6  TBA                                                      GONSOULIN C
 99        COMD 7685 CLI     9  GRAD CLIN PRACTICUM    1-6  TBA                                                      WALKER V
