(F)    20  HNRS 1035 SEM     1  SCIENCE FOR CITIZENS   3.0   130-0220   M W F  0218 FRENCH HOUSE                     OTTEA J
  2    18  HNRS 1035 SEM     2  MARINE PLANKTON        3.0  1030-1150    T TH  1070 ENER,COAST,& EN CI-WRITTEN&TECH  SUTOR M
  5    15  HNRS 1036 SEM     1  MATERIALS OF ART       3.0  1030-1150    T TH                                        POJMAN J
(F)    20  HNRS 2000 SEM     1  CRITICAL ANALYSIS      3.0  1030-1120   M W F                       CI-WRITTEN&SPOK  BABCOCK F
  1    19  HNRS 2000 SEM     2  CRITICAL ANALYSIS      3.0  1030-1120   M W F  0218 FRENCH HOUSE    CI-WRITTEN&SPOK  ROUSE L
(F)    15  HNRS 2000 SEM     3  CRITICAL ANALYSIS      3.0  1030-1120   M W F  0203 FRENCH HOUSE    CI-WRITTEN&SPOK  COLE G
  1    19  HNRS 2000 SEM     4  CRITICAL ANALYSIS      3.0  1030-1120   M W F  0220 FRENCH HOUSE    CI-WRITTEN&SPOK  BECKER S
  4    16  HNRS 2000 SEM     5  CRITICAL ANALYSIS      3.0  1030-1120   M W F  0200 FRENCH HOUSE    CI-WRITTEN&SPOK  HEIDELBERG R
(F)    15  HNRS 2000 SEM     6  CRITICAL ANALYSIS      3.0   900-1020    T TH  0203 FRENCH HOUSE    CI-WRITTEN&SPOK  PROTEVI J
(F)    20  HNRS 2000 SEM     7  CRITICAL ANALYSIS      3.0   900-1020    T TH  0221BHIMES           CI-WRITTEN&SPOK  WOLFE J
(F)    20  HNRS 2000 SEM     8  CRITICAL ANALYSIS      3.0   900-1020    T TH  0200 FRENCH HOUSE    CI-WRITTEN&SPOK  GALEUCIA A
  4    16  HNRS 2000 SEM     9  CRITICAL ANALYSIS      3.0   900-1020    T TH  2215 ENER,COAST,& EN CI-WRITTEN&SPOK  SUTOR M
  1    19  HNRS 2000 SEM    10  CRITICAL ANALYSIS      3.0   900-1020    T TH  0218 FRENCH HOUSE    CI-WRITTEN&SPOK  SCOTT J
(F)    15  HNRS 2000 SEM    11  CRITICAL ANALYSIS      3.0  1030-1150    T TH                       CI-WRITTEN&SPOK  HOLMES A
  1    19  HNRS 2000 SEM    12  CRITICAL ANALYSIS      3.0  1030-1150    T TH  0130 COATES                           KELLEY M
(F)    20  HNRS 2000 SEM    13  CRITICAL ANALYSIS      3.0  1030-1150    T TH  0200 FRENCH HOUSE    CI-WRITTEN&SPOK  PERCY L
  2    18  HNRS 2000 SEM    14  CRITICAL ANALYSIS      3.0  1030-1150    T TH  0204 WOODIN HALL     CI-WRITTEN&SPOK  CARMICHAEL B
(F)    20  HNRS 2000 SEM    15  CRITICAL ANALYSIS      3.0  1030-1150    T TH  0218 FRENCH HOUSE    CI-WRITTEN&SPOK  BLAIR W
(F)    20  HNRS 2000 SEM    16  CRITICAL ANALYSIS      3.0  1200-0120    T TH  0218 FRENCH HOUSE    CI-WRITTEN&SPOK  LAMONICA D
(F)    20  HNRS 2000 SEM    17  CRITICAL ANALYSIS      3.0  1200-0120    T TH  0220 FRENCH HOUSE    CI-WRITTEN&SPOK  LERCHER A
(F)    20  HNRS 2000 SEM    18  CRITICAL ANALYSIS      3.0  1200-0120    T TH  0212 COATES          CI-WRITTEN&SPOK  RAY L
(F)    20  HNRS 2000 SEM    19  CRITICAL ANALYSIS      3.0  1200-0120    T TH                       CI-WRITTEN&SPOK  MACK A
(F)    15  HNRS 2000 SEM    20  CRITICAL ANALYSIS      3.0  1200-0120    T TH  0203 FRENCH HOUSE    CI-WRITTEN&SPOK  RINGELMAN K
  4    16  HNRS 2013         1  ARAB & JEW LIT/FILM    3.0  1030-1150    T TH  0220 FRENCH HOUSE                     WAGNER M
(F)    20  HNRS 2020 SEM     1  BIOETHICS              3.0   600-0850N  M      0218 FRENCH HOUSE                     ROLFSEN M
  2    18  HNRS 2021         1  ART & FRENCH REVOL     3.0   900-1020    T TH  0220 FRENCH HOUSE                     SPIETH D
  1    19  HNRS 2021         3  MUSIC AND POWER        3.0   130-0250    T TH  0218 FRENCH HOUSE    CI-WRITTEN&SPOK  BAZAYEV I
  2    18  HNRS 2021         4  JEWS & RACE OF FILM    3.0   130-0250    T TH  0214 COATES                           RETHELYI M
  7    13  HNRS 2021         5  SCIENCE-THEATRE&FILM   3.0   430-0550N   T TH  0218 FRENCH HOUSE    CI-WRITTEN&SPOK  LICATA V
  1    19  HNRS 2021         2  POETRY AND FILM        3.0   300-0550    T     0200 FRENCH HOUSE    CI-WRITTEN&VISU  GODSHALL Z
  2    18  HNRS 2030 SEM     3  GERMANY&AMER IN FILM   3.0  1130-1220   M W F  0218 FRENCH HOUSE    CI-WRITTEN&SPOK  DETTINGER M
(F)    20  HNRS 2030 SEM     2  EVOL & BIOL MORALITY   3.0   430-0550N  M W    0218 FRENCH HOUSE    CI-WRITTEN&SPOK  PROTEVI J
  1    19  HNRS 2030 SEM     1  POETRY AS ARCHIVE      3.0   300-0420    T TH  0218 FRENCH HOUSE    CI-WRITTEN&SPOK  MULLEN L
  1    16  HNRS 2030 SEM     4  A HISTORY OF JESUS     3.0   600-0850N    W    0211 COATES                           BURKETT D
  2    18  HNRS 2033 SEM     2  HEALTH PRACTICES       3.0   930-1020   M W F  0200 FRENCH HOUSE                     GRODESKY J
  1    22  HNRS 2033 SEM     3  REACTING TO THE PAST   3.0   930-1020   M W F  0135 FRENCH HOUSE    CI-WRITTEN&SPOK  EARLE J
(F)    20  HNRS 2033 SEM     1  GLOBALIZATION          3.0   130-0250    T TH  0200 FRENCH HOUSE                     KIM W
(F)    15  HNRS 2033 SEM     4  HUMANS & ENVIRONMENT   3.0   130-0250    T TH  0203 FRENCH HOUSE                     SNYDER B
  7    13  HNRS 3000 SEM     1  PSYCH RES METHODS      3.0  1030-1150    T TH  0269 WOODIN HALL     CI-WRITTEN&SPOK  MCDONALD J
 13     4  HNRS 3035 SEM     1  NEUROMOTOR CONTROL     3.0   130-0250    T TH  0155 LONG FIELDHOUSE                  HONDZINSKI J
(F)     2  HNRS 3100 RES     1  INTSHP/FLD WK/OFF-CP   1-6  TBA                                                      BABCOCK F
(F)     1  HNRS 4000 RES     1  THESIS                 3.0  TBA                                                      HARMEYER E
(F)     1  HNRS 4000 RES     2  THESIS                 3.0  TBA                                                      TAYLOR S
(F)     1  HNRS 4000 RES     3  THESIS                 3.0  TBA                                                      MELVIN A
(F)     1  HNRS 4000 RES     4  THESIS                 3.0  TBA                                                      SOBEK D
(F)     1  HNRS 4000 RES     5  THESIS                 3.0  TBA                                                      WHITMAN D
(F)     1  HNRS 4000 RES     6  THESIS                 3.0  TBA                                                      HEO J
(F)     1  HNRS 4000 RES     7  THESIS                 3.0  TBA                                                      CHANDA A
(F)     1  HNRS 4000 RES     8  THESIS                 3.0  TBA                                                      KENISTON D
(F)     1  HNRS 4000 RES     9  THESIS                 3.0  TBA                                                      STORIN B
(F)     1  HNRS 4000 RES    10  THESIS                 3.0  TBA                                                      SPIELMANN G
(F)     1  HNRS 4000 RES    11  THESIS                 3.0  TBA                                                      SMITH R
(F)     1  HNRS 4000 RES    12  THESIS                 3.0  TBA                                                      LONG A
(F)     1  HNRS 4000 RES    13  THESIS                 3.0  TBA                                                      MCDONALD J
(F)     1  HNRS 4000 RES    14  THESIS                 3.0  TBA                                                      PORTER L
(F)     1  HNRS 4000 RES    15  THESIS                 3.0  TBA                                                      PAPESH M
(F)     1  HNRS 4000 RES    16  THESIS                 3.0  TBA                                                      GREENING S
(F)        HNRS 4000 RES    17  THESIS                 3.0  TBA                                                      TUCKER R
(F)     1  HNRS 4000 RES    18  THESIS                 3.0  TBA                                                      SMITH R
(F)     1  HNRS 4000 RES    19  THESIS                 3.0  TBA                                                      MCKILLOP H
(F)     1  HNRS 4000 RES    20  THESIS                 3.0  TBA                                                      LONG A
(F)     1  HNRS 4000 RES    21  THESIS                 3.0  TBA                                                      PORTER L
(F)     1  HNRS 4000 RES    22  THESIS                 3.0  TBA                                                      COX C
(F)     1  HNRS 4000 RES    23  THESIS                 3.0  TBA                                                      TRIANTAPHYLLO
(F)     1  HNRS 4000 RES    24  THESIS                 3.0  TBA                                                      JOHANNSEN N
(F)     1  HNRS 4000 RES    25  THESIS                 3.0  TBA                                                      PASQUIER M
(F)     1  HNRS 4000 RES    26  THESIS                 3.0  TBA                                                      DING H
(F)     1  HNRS 4000 RES    27  THESIS                 3.0  TBA                                                      MULLEN L
(F)     1  HNRS 4000 RES    28  THESIS                 3.0  TBA                                                      WOLFE J
(F)     1  HNRS 4000 RES    29  THESIS                 3.0  TBA                                                      LEGORIA J
(F)        HNRS 4000 RES    30  THESIS                 3.0  TBA                                                      MCDONALD J
(F)     1  HNRS 4000 RES    31  THESIS                 3.0  TBA                                                      ELLIOTT E
(F)     1  HNRS 4000 RES    32  THESIS                 3.0  TBA                                                      ZIMMER A
(F)     1  HNRS 4000 RES    33  THESIS                 3.0  TBA                                                      RASTOGI P
(F)     1  HNRS 4000 RES    34  THESIS                 3.0  TBA                                                      PICCOLI G
(F)     1  HNRS 4000 RES    35  THESIS                 3.0  TBA                                                      JOHNSON P
(F)     1  HNRS 4000 RES    36  THESIS                 3.0  TBA                                                      KALLER M
(F)     1  HNRS 4000 RES    37  THESIS                 3.0  TBA                                                      OGUNC K
(F)     1  HNRS 4000 RES    38  THESIS                 3.0  TBA                                                      KALLER M
(F)     1  HNRS 4000 RES    39  THESIS                 3.0  TBA                                                      SULLIVAN J
(F)     1  HNRS 4000 RES    40  THESIS                 3.0  TBA                                                      WALSH S
(F)     1  HNRS 4000 RES    41  THESIS                 3.0  TBA                                                      SPIETH D
(F)     1  HNRS 4000 RES    42  THESIS                 3.0  TBA                                                      MARTIN L
(F)     1  HNRS 4000 RES    43  THESIS                 3.0  TBA                                                      RAY L
(F)     1  HNRS 4000 RES    44  THESIS                 3.0  TBA                                                      MANN R
(F)     1  HNRS 4000 RES    45  THESIS                 3.0  TBA                                                      LEUPIN A
(F)     1  HNRS 4000 RES    46  THESIS                 3.0  TBA                                                      KEREVEL Y
(F)     1  HNRS 4000 RES    48  THESIS                 3.0  TBA                                                      GOLDGABER D
(F)     1  HNRS 4000 RES    49  THESIS                 3.0  TBA                                                      CEPPOS J
(F)     1  HNRS 4000 RES    50  THESIS                 3.0  TBA                                                      DAVIS B
(F)     1  HNRS 4000 RES    51  THESIS                 3.0  TBA                                                      MATTZA C
(F)     1  HNRS 4000 RES    52  THESIS                 3.0  TBA                                                      KOUSOULAS K
(F)     1  HNRS 4000 RES    53  THESIS                 3.0  TBA                                                      HARGRODER W
(F)     1  HNRS 4000 RES    54  THESIS                 3.0  TBA                                                      WILKS S
(F)     1  HNRS 4000 RES    55  THESIS                 3.0  TBA                                                      DALECKI M
(F)     1  HNRS 4000 RES    56  THESIS                 3.0  TBA                                                      SLAWSON V
(F)     1  HNRS 4000 RES    57  THESIS                 3.0  TBA                                                      VANGJEL M
(F)     1  HNRS 4000 RES    58  THESIS                 3.0  TBA                                                      WEI S
(F)     1  HNRS 4000 RES    59  THESIS                 3.0  TBA                                                      OGUNC K
(F)     1  HNRS 4000 RES    60  THESIS                 3.0  TBA                                                      IKUMA L
(F)     1  HNRS 4000 RES    61  THESIS                 3.0  TBA                                                      GUNDERSON A
(F)     1  HNRS 4000 RES    62  THESIS                 3.0  TBA                                                      WHITMAN D
(F)        HNRS 4000 RES    63  THESIS                 3.0  TBA                                                      KIM J
(F)     1  HNRS 4000 RES    64  THESIS                 3.0  TBA                                                      MANN R
(F)     1  HNRS 4000 RES    65  THESIS                 3.0  TBA                                                      GHANDOUR M
(F)     1  HNRS 4000 RES    66  THESIS                 3.0  TBA                                                      PALARDY G
(F)        HNRS 4000 RES    67  THESIS                 3.0  TBA                                                      JACQUET C
 98     1  HNRS 4000 RES    70  THESIS                 3.0  TBA                                                      TUCKER R
