  1     1  LING 2010         1  SYMBOLIC LOGIC I       3.0   230-0320   M W F  0225 COATES                           ROLAND J
(F)     5  LING 2050         2  INTR TO LANGUAGE       3.0   930-1020   M W F  0155 COATES                           PARKER R
  6     3  LING 2710         1  DESCRIPTVE GRAM ENGL   3.0  1130-1220   M W F  0129 ALLEN                            SMITH J
  1     8  LING 3716         1  DIALECTS OF ENGLISH    3.0  1230-0120   M W F  0135 LOCKETT                          SMITH J
  3     2  LING 4005         1  STRUCT OF SPAN LANG    3.0   130-0250    T TH  0134 ALLEN                            OROZCO R
 15        LING 4015         1  ADV FREN PHONETICS     3.0  1030-1150    T TH  0218 STUBBS                           CAMP A
  2     3  LING 4150         1  PHONETICS              3.0  1030-1150    T TH  0001 HATCHER HALL                     GIBSON T
  5        LING 4153         2  ACOUSTICS SP HEARING   4.0   130-0250    T TH  0002 LOCKETT                          KIM Y
(F)    10  LING 4310         1  LING OF SIGN LANG      3.0  1130-1220   M W F  0120 PRESCOTT                         ALKADI M
  5     5  LING 4713         1  SYNTAX                 3.0   300-0420    T TH  0120 PRESCOTT                         WELTMAN J
  8     2  LING 4720         1  LANGUAGE ACQUISITION   3.0  1030-1120   M W F  0112 AUDUBON                          SHPORT I
  9     1  LING 7060 SEM     1  CONVERSATION/DISCOUR   3.0   130-0250    T TH  0254 HOWE RUSSELL E                   BRODY M
  4     1  LING 7750 SEM     1  SPECIAL TOP LINGUIST   3.0   300-0420    T TH  0116 PRESCOTT                         OROZCO R
  4     1  LING 7750 SEM     2  SPECIAL TOP LINGUIST   3.0   100-0350     W    0203 WOODIN HALL                      OETTING J
  1        LING 7756 RES     1  IND RES-PHON & LING    1-3  TBA
 99        LING 8000 RES     1  THESIS RESEARCH        1-12 TBA                                                      BRODY M
 99        LING 8000 RES     2  THESIS RESEARCH        1-12 TBA                                                      BUCKINGHAM H
 99        LING 8000 RES     3  THESIS RESEARCH        1-12 TBA                                                      DUBOIS S
 98     1  LING 8000 RES     5  THESIS RESEARCH        1-12 TBA                                                      KIM Y
 99        LING 8000 RES     6  THESIS RESEARCH        1-12 TBA                                                      KING J
 99        LING 8000 RES     7  THESIS RESEARCH        1-12 TBA                                                      MCDONALD J
 99        LING 8000 RES     8  THESIS RESEARCH        1-12 TBA                                                      NASH C
 99        LING 8000 RES     9  THESIS RESEARCH        1-12 TBA                                                      NORRIS J
 99        LING 8000 RES    10  THESIS RESEARCH        1-12 TBA                                                      OETTING J
 99        LING 8000 RES    11  THESIS RESEARCH        1-12 TBA                                                      OLIVER E
 99        LING 8000 RES    12  THESIS RESEARCH        1-12 TBA                                                      OROZCO R
 99        LING 9000 RES     1  DISSERTATION RESEARC   1-12 TBA                                                      BRODY M
 99        LING 9000 RES     2  DISSERTATION RESEARC   1-12 TBA                                                      DUBOIS S
 99        LING 9000 RES     4  DISSERTATION RESEARC   1-12 TBA                                                      KING J
 99        LING 9000 RES     5  DISSERTATION RESEARC   1-12 TBA                                                      MCDONALD J
 99        LING 9000 RES     6  DISSERTATION RESEARC   1-12 TBA                                                      NASH C
 99        LING 9000 RES     7  DISSERTATION RESEARC   1-12 TBA                                                      OETTING J
 99        LING 9000 RES     8  DISSERTATION RESEARC   1-12 TBA                                                      OROZCO R
 99        LING 9000 RES     9  DISSERTATION RESEARC   1-12 TBA                                                      OLIVER E
 99        LING 9000 RES    10  DISSERTATION RESEARC   1-12 TBA                                                      BUCKINGHAM H
 99        LING 9000 RES    11  DISSERTATION RESEARC   1-12 TBA                                                      NORRIS J
 99        LING 9000 RES    12  DISSERTATION RESEARC   1-12 TBA                                                      KIM Y
 99        LING 9000 RES    13  DISSERTATION RESEARC   1-12 TBA                                                      BOWLES L
 98     1  LING 9000 RES    14  DISSERTATION RESEARC   1-12 TBA                                                      MCDONALD J
