  2    18  HNRS 1035 SEM     1  NATURAL DISTURBANCES   3.0   130-0250    T TH  0248 WOODIN HALL     CI-SPOKEN&TECH   CARMICHAEL B
  3    17  HNRS 1036 SEM     1  ANCIENT ASTRONOMY      3.0   930-1020   M W F  0262 NICHOLSON                        SCHAEFER B
(F)    20  HNRS 2013         1  20TH CENTURY BRITAIN   3.0  1030-1150    T TH  0218 FRENCH HOUSE                     HOLMES A
(F)    18  HNRS 2013         3  STATE OF LOUISIANA     3.0   130-0250    T TH  0218 FRENCH HOUSE    CI-WRITTEN&SPOK  BABCOCK F
(F)    16  HNRS 2013         2  NAZI GERMANY           3.0   300-0550    T     0253 HIMES                            CULBERT D
(F)    20  HNRS 2020 SEM     2  ISLAM AND FEMINISM     3.0   130-0220   M W F  0127 COATES                           ALAM A
  7    13  HNRS 2020 SEM     1  CHAR &STRAT-US CORPS   3.0   130-0250    T TH  0200 FRENCH HOUSE    CI-WRITTEN&SPOK  MARIN D
  4    16  HNRS 2021         1  ART & FRENCH REVOL     3.0   900-1020    T TH  0412 DESIGN BUILDING CI-WRITTEN&SPOK  SPIETH D
(F)    20  HNRS 2021         2  FILMS OF HITCHCOCK     3.0   300-0420    T TH  0132 ALLEN                            FREEDMAN C
  6    14  HNRS 2030 SEM     3  MEMORY OF CIVIL WAR    3.0   300-0420   M W    0218 FRENCH HOUSE                     FOSTER G
  1    19  HNRS 2030 SEM     2  LIT. & ART OF WWI      3.0  1030-1150    T TH  0200 FRENCH HOUSE                     BABCOCK F
 13     7  HNRS 2030 SEM     7  HISTORY OF THE BOOK    3.0  1030-1150    T TH                                        MILES J
  1    19  HNRS 2030 SEM     1  ART OF THINKING        3.0  1200-0120    T TH  0211 COATES                           SCHUFREIDER G
  4    16  HNRS 2030 SEM     5  AUSTEN & BRONTE        3.0  1200-0120    T TH  0218 FRENCH HOUSE                     LAMONICA D
  7    13  HNRS 2030 SEM     6  LA'S GERMAN ROOTS      3.0  1200-0120    T TH  0138 PRESCOTT                         DETTINGER M
  9    11  HNRS 3025 SEM     1  LEGAL STUDIES FORUM    3.0   900-1020    T TH                                        BAIER P
 12     5  HNRS 3035 SEM     1  ADV SEM IN NAT SCIEN   3.0  1030-1120   M W F  0201 WILLIAMS                         HOMBERGER D
 10     7  HNRS 3035 SEM     2  ADV SEM IN NAT SCIEN   3.0   700-0920N    W    0028 LIFE SCIENCES                    KING G
(F)    12  HNRS 3100 RES     1  INTSHP/FLD WK/OFF-CP   1-6  TBA                                                      BABCOCK F
(F)        HNRS 3500 RES     1  INDEPENDENT STUDY      1-6  TBA
(F)        HNRS 3500 RES     2  INDEPENDENT STUDY      1-6  TBA
(F)     1  HNRS 4000 RES     1  THESIS                 3.0  TBA                                                      MILLER J
(F)     1  HNRS 4000 RES     2  THESIS                 3.0  TBA                                                      SANDERS M
(F)     1  HNRS 4000 RES     3  THESIS                 3.0  TBA                                                      RENSHAW T
(F)     1  HNRS 4000 RES     4  THESIS                 3.0  TBA                                                      GIBSON T
(F)     1  HNRS 4000 RES     5  THESIS                 3.0  TBA                                                      PAPESH M
(F)     1  HNRS 4000 RES     6  THESIS                 3.0  TBA                                                      NIKITOPOULOS
(F)     1  HNRS 4000 RES     7  THESIS                 3.0  TBA                                                      ELLIOTT E
(F)     1  HNRS 4000 RES     8  THESIS                 3.0  TBA                                                      LU R
(F)     1  HNRS 4000 RES     9  THESIS                 3.0  TBA                                                      CHANG S
(F)     1  HNRS 4000 RES    10  THESIS                 3.0  TBA                                                      GRIFFIN G
(F)     1  HNRS 4000 RES    11  THESIS                 3.0  TBA                                                      BARTON M
(F)     1  HNRS 4000 RES    12  THESIS                 3.0  TBA                                                      RAY L
(F)     1  HNRS 4000 RES    13  THESIS                 3.0  TBA                                                      BAGGETT L
(F)     1  HNRS 4000 RES    14  THESIS                 3.0  TBA                                                      SULENTIC DOWE
(F)     1  HNRS 4000 RES    15  THESIS                 3.0  TBA                                                      HICKS J
(F)     1  HNRS 4000 RES    16  THESIS                 3.0  TBA                                                      PARK H
(F)     1  HNRS 4000 RES    17  THESIS                 3.0  TBA                                                      MARTIN L
(F)     1  HNRS 4000 RES    18  THESIS                 3.0  TBA                                                      HALE D
(F)     1  HNRS 4000 RES    19  THESIS                 3.0  TBA                                                      GLENUM L
(F)     1  HNRS 4000 RES    20  THESIS                 3.0  TBA                                                      SMOLINSKY L
(F)     1  HNRS 4000 RES    21  THESIS                 3.0  TBA                                                      NICKERSON K
(F)     1  HNRS 4000 RES    22  THESIS                 3.0  TBA                                                      PARK H
(F)     1  HNRS 4000 RES    23  THESIS                 3.0  TBA                                                      MAMOLI M
(F)        HNRS 4000 RES    24  THESIS                 3.0  TBA                                                      DARR J
(F)     1  HNRS 4000 RES    25  THESIS                 3.0  TBA                                                      NEUBRANDER F
(F)     1  HNRS 4000 RES    26  THESIS                 3.0  TBA                                                      HUGHES R
(F)     1  HNRS 4000 RES    27  THESIS                 3.0  TBA                                                      OVERBAY J
