 98     1  AGEC 4700 RES     1  PROBLMS IN AGRIC ECO   1-3  TBA                                                      HENNING S
 96     3  AGEC 7700 CLI     1  INTERN AGRIBUS ADMIN   3.0  TBA                                                      HINSON R
 95     4  AGEC 7703 RES     1  INDEPENDENT STUDY      1-3  TBA                                                      WESTRA J
 99        AGEC 7703 RES     4  INDEPENDENT STUDY      1-3  TBA                                                      SALASSI M
 97     2  AGEC 8000 RES     2  THESIS RESEARCH        1-12 TBA                                                      CAFFEY R
 98     1  AGEC 8000 RES     3  THESIS RESEARCH        1-12 TBA                                                      HARRISON R
 96     3  AGEC 8000 RES     5  THESIS RESEARCH        1-12 TBA                                                      KAZMIERCZAK R
 97     2  AGEC 8000 RES    10  THESIS RESEARCH        1-12 TBA                                                      HINSON R
 98     1  AGEC 8000 RES    12  THESIS RESEARCH        1-12 TBA                                                      MISHRA A
 98     1  AGEC 8000 RES    13  THESIS RESEARCH        1-12 TBA                                                      GILLESPIE J
 98     1  AGEC 8000 RES    15  THESIS RESEARCH        1-12 TBA                                                      CAFFEY R
 98     1  AGEC 8000 RES    16  THESIS RESEARCH        1-12 TBA                                                      DETRE J
 97     2  AGEC 8000 RES    17  THESIS RESEARCH        1-12 TBA                                                      KENNEDY P
 97     2  AGEC 9000 RES     1  DISSERTATION RES       1-12 TBA                                                      KENNEDY P
 97     2  AGEC 9000 RES     2  DISSERTATION RES       1-12 TBA                                                      GILLESPIE J
 94     5  AGEC 9000 RES     4  DISSERTATION RES       1-12 TBA                                                      HARRISON R
 97     2  AGEC 9000 RES     5  DISSERTATION RES       1-12 TBA                                                      ZAPATA H
 96     3  AGEC 9000 RES     7  DISSERTATION RES       1-12 TBA                                                      FANNIN J
 98     1  AGEC 9000 RES     9  DISSERTATION RES       1-12 TBA                                                      KEITHLY W
 98     1  AGEC 9000 RES    10  DISSERTATION RES       1-12 TBA                                                      WESTRA J
 98     1  AGEC 9000 RES    11  DISSERTATION RES       1-12 TBA                                                      SALASSI M
 95     4  AGEC 9000 RES    12  DISSERTATION RES       1-12 TBA                                                      MISHRA A
 98     1  AGEC 9000 RES    15  DISSERTATION RES       1-12 TBA                                                      KEITHLY W
