 50     5  PSYC 2000         1  INTR TO PSYC           3.0  1210-0110   MTWTF                                        LONG A
 53     2  PSYC 2005         1  INTRO TO PSYC MAJOR    1.0  TBA                                     100% WEB BASED
 30        PSYC 2060         1  EDUCATIONAL PSYC       3.0  TBA                                     100% WEB BASED   LOZY E
 30        PSYC 2999 CLI     1  UNDERGRAD PRACT PSYC   1-3  TBA                                     PERMIS OF INST
 10    20  PSYC 3030         1  COGNITION              3.0  TBA                                     100% WEB BASED   HACKER J
 31    24  PSYC 3082         1  INTR ABNORMAL PSYC     3.0  TBA                                     100% WEB BASED   COPELAND A
 52     3  PSYC 3083         1  PSYCHOLOGICAL COUNS    3.0  0840-0940   MTWTF                                        WEITZNER D
 99        PSYC 4999 RES     1  INDEP READ & RESEARC   1-6  TBA                                     PERMIS OF INST
 99        PSYC 4999 RES     2  INDEP READ & RESEARC   1-6  TBA                                     PERMIS OF INST
 99        PSYC 4999 RES     3  INDEP READ & RESEARC   1-6  TBA                                     PERMIS OF INST
  5        PSYC 4999 RES     4  INDEP READ & RESEARC   1-6  TBA                                     PERMIS OF INST
 99        PSYC 7668 CLI     1  PRACTICUM SCHL PSYC    1-6  TBA                                     PERMIS OF INST
 99        PSYC 7668 CLI     2  PRACTICUM SCHL PSYC    1-6  TBA                                     PERMIS OF INST
 99        PSYC 7668 CLI     3  PRACTICUM SCHL PSYC    1-6  TBA                                     PERMIS OF INST
 99        PSYC 7688 CLI     1  PRACT CLIN PSYCH       1-3  TBA                                     PERMIS OF INST
 99        PSYC 7688 CLI     2  PRACT CLIN PSYCH       1-3  TBA                                     PERMIS OF INST
 99        PSYC 7688 CLI     3  PRACT CLIN PSYCH       1-3  TBA                                     PERMIS OF INST
 99        PSYC 7688 CLI     4  PRACT CLIN PSYCH       1-3  TBA                                     PERMIS OF INST
 99        PSYC 7688 CLI     5  PRACT CLIN PSYCH       1-3  TBA                                     PERMIS OF INST
 99        PSYC 7688 CLI     6  PRACT CLIN PSYCH       1-3  TBA                                     PERMIS OF INST
 99        PSYC 7688 CLI     7  PRACT CLIN PSYCH       1-3  TBA                                     PERMIS OF INST
 99        PSYC 7688 CLI     8  PRACT CLIN PSYCH       1-3  TBA                                     PERMIS OF INST
 99        PSYC 7688 CLI     9  PRACT CLIN PSYCH       1-3  TBA                                     PERMIS OF INST
 10        PSYC 7969 CLI     1  INTERNSHIP SCHL PSYC   1-6  TBA
 15        PSYC 7997 CLI     1  CLIN PSYC INTERNSHIP   3-6  TBA
 99        PSYC 8000 RES     1  THESIS RESEARCH        1-12 TBA                                     PERMIS OF INST   BUCKNER J
 99        PSYC 8000 RES     2  THESIS RESEARCH        1-12 TBA                                     PERMIS OF INST   COHEN A
 99        PSYC 8000 RES     3  THESIS RESEARCH        1-12 TBA                                     PERMIS OF INST   COPELAND A
 99        PSYC 8000 RES     4  THESIS RESEARCH        1-12 TBA                                     PERMIS OF INST   GRESHAM F
 99        PSYC 8000 RES     5  THESIS RESEARCH        1-12 TBA                                     PERMIS OF INST   HARMAN J
 99        PSYC 8000 RES     6  THESIS RESEARCH        1-12 TBA                                     PERMIS OF INST   LONG A
 99        PSYC 8000 RES     7  THESIS RESEARCH        1-12 TBA                                     PERMIS OF INST   NOELL G
 99        PSYC 8000 RES     8  THESIS RESEARCH        1-12 TBA                                     PERMIS OF INST   DAVIS T
 99        PSYC 8000 RES     9  THESIS RESEARCH        1-12 TBA                                     PERMIS OF INST   KELLEY M
 99        PSYC 8000 RES    10  THESIS RESEARCH        1-12 TBA                                     PERMIS OF INST   DONALDSON J
 99        PSYC 8000 RES    11  THESIS RESEARCH        1-12 TBA                                     PERMIS OF INST   TUCKER R
 10        PSYC 8959 RES     1  IND RES - INDUS        1-6  TBA                                                      HICKS J
 10        PSYC 8989 RES     1  IND RES - CLIN         1-6  TBA                                                      DAVIS T
 10        PSYC 8989 RES     2  IND RES - CLIN         1-6  TBA                                                      KELLEY M
 10        PSYC 8989 RES     3  IND RES - CLIN         1-6  TBA                                                      FRICK P
 10        PSYC 8989 RES     4  IND RES - CLIN         1-6  TBA                                                      CALAMIA M
 99        PSYC 9000 RES     1  DISSERTATION RES       1-12 TBA                                     PERMIS OF INST   BUCKNER J
 99        PSYC 9000 RES     2  DISSERTATION RES       1-12 TBA                                     PERMIS OF INST   COHEN A
 99        PSYC 9000 RES     3  DISSERTATION RES       1-12 TBA                                     PERMIS OF INST   COPELAND A
 99        PSYC 9000 RES     4  DISSERTATION RES       1-12 TBA                                     PERMIS OF INST   DAVIS T
 99        PSYC 9000 RES     5  DISSERTATION RES       1-12 TBA                                     PERMIS OF INST   MCDONALD J
 99        PSYC 9000 RES     6  DISSERTATION RES       1-12 TBA                                     PERMIS OF INST   CALAMIA M
